identity,num_images,emotions
BF-031,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-043,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-029,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-036,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-020,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-033,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-019,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-015,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-006,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-033,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-018,4,"['A', 'HC', 'HO', 'N']"
WM-031,5,"['A', 'F', 'HC', 'HO', 'N']"
