image,correct_valence,correct_key,identity,expression
CFD-WM-031-004-HO.jpg,positive,h,WM-031,HO
CFD-BM-020-001-N.jpg,neutral,g,BM-020,N
CFD-WF-006-006-HO.jpg,positive,h,WF-006,HO
CFD-WM-018-007-A.jpg,negative,f,WM-018,A
CFD-BM-033-003-N.jpg,neutral,g,BM-033,N
CFD-WM-018-002-N.jpg,neutral,g,WM-018,N
CFD-WF-015-014-A.jpg,negative,f,WF-015,A
CFD-BM-020-037-A.jpg,negative,f,BM-020,A
CFD-BF-029-038-HC.jpg,positive,h,BF-029,HC
CFD-BM-033-026-HC.jpg,positive,h,BM-033,HC
CFD-BM-036-037-A.jpg,negative,f,BM-036,A
CFD-WM-031-003-N.jpg,neutral,g,WM-031,N
CFD-BF-031-020-A.jpg,negative,f,BF-031,A
CFD-BF-043-003-N.jpg,neutral,g,BF-043,N
CFD-WM-033-006-HC.jpg,positive,h,WM-033,HC
CFD-BM-033-032-A.jpg,negative,f,BM-033,A
CFD-WF-019-005-N.jpg,neutral,g,WF-019,N
CFD-BF-043-004-HO.jpg,positive,h,BF-043,HO
CFD-BM-036-004-HO.jpg,positive,h,BM-036,HO
CFD-BF-031-002-N.jpg,neutral,g,BF-031,N
CFD-WF-006-019-A.jpg,negative,f,WF-006,A
CFD-BF-031-048-HC.jpg,positive,h,BF-031,HC
CFD-WM-031-045-A.jpg,negative,f,WM-031,A
CFD-BF-043-038-A.jpg,negative,f,BF-043,A
CFD-WM-018-004-HO.jpg,positive,h,WM-018,HO
CFD-WF-015-022-HO.jpg,positive,h,WF-015,HO
CFD-WM-033-014-A.jpg,negative,f,WM-033,A
CFD-BM-036-003-N.jpg,neutral,g,BM-036,N
CFD-WF-015-006-N.jpg,neutral,g,WF-015,N
CFD-WF-019-015-A.jpg,negative,f,WF-019,A
CFD-WF-006-002-N.jpg,neutral,g,WF-006,N
CFD-BF-029-046-A.jpg,negative,f,BF-029,A
CFD-WF-019-032-HC.jpg,positive,h,WF-019,HC
CFD-BF-029-031-N.jpg,neutral,g,BF-029,N
CFD-BM-020-024-HC.jpg,positive,h,BM-020,HC
CFD-WM-033-025-N.jpg,neutral,g,WM-033,N
